POAexemptCode,Description
S82.041K,"Displaced comminuted fracture of right patella, subsequent encounter for closed fracture with nonunion"
S82.041M,"Displaced comminuted fracture of right patella, subsequent encounter for open fracture type I or II with nonunion"
S82.041N,"Displaced comminuted fracture of right patella, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
S82.041P,"Displaced comminuted fracture of right patella, subsequent encounter for closed fracture with malunion"
S82.041Q,"Displaced comminuted fracture of right patella, subsequent encounter for open fracture type I or II with malunion"
S82.041R,"Displaced comminuted fracture of right patella, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
S82.041S,"Displaced comminuted fracture of right patella, sequela"
S82.042D,"Displaced comminuted fracture of left patella, subsequent encounter for closed fracture with routine healing"
S82.042E,"Displaced comminuted fracture of left patella, subsequent encounter for open fracture type I or II with routine healing"
S82.042F,"Displaced comminuted fracture of left patella, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
S82.042G,"Displaced comminuted fracture of left patella, subsequent encounter for closed fracture with delayed healing"
S82.042H,"Displaced comminuted fracture of left patella, subsequent encounter for open fracture type I or II with delayed healing"
S82.042J,"Displaced comminuted fracture of left patella, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
S82.042K,"Displaced comminuted fracture of left patella, subsequent encounter for closed fracture with nonunion"
S82.042M,"Displaced comminuted fracture of left patella, subsequent encounter for open fracture type I or II with nonunion"
S82.042N,"Displaced comminuted fracture of left patella, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
S82.042P,"Displaced comminuted fracture of left patella, subsequent encounter for closed fracture with malunion"
S82.042Q,"Displaced comminuted fracture of left patella, subsequent encounter for open fracture type I or II with malunion"
S82.042R,"Displaced comminuted fracture of left patella, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
S82.042S,"Displaced comminuted fracture of left patella, sequela"
S82.043D,"Displaced comminuted fracture of unspecified patella, subsequent encounter for closed fracture with routine healing"
S82.043E,"Displaced comminuted fracture of unspecified patella, subsequent encounter for open fracture type I or II with routine healing"
S82.043F,"Displaced comminuted fracture of unspecified patella, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
S82.043G,"Displaced comminuted fracture of unspecified patella, subsequent encounter for closed fracture with delayed healing"
S82.043H,"Displaced comminuted fracture of unspecified patella, subsequent encounter for open fracture type I or II with delayed healing"
S82.043J,"Displaced comminuted fracture of unspecified patella, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
S82.043K,"Displaced comminuted fracture of unspecified patella, subsequent encounter for closed fracture with nonunion"
S82.043M,"Displaced comminuted fracture of unspecified patella, subsequent encounter for open fracture type I or II with nonunion"
S82.043N,"Displaced comminuted fracture of unspecified patella, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
S82.043P,"Displaced comminuted fracture of unspecified patella, subsequent encounter for closed fracture with malunion"
S82.043Q,"Displaced comminuted fracture of unspecified patella, subsequent encounter for open fracture type I or II with malunion"
S82.043R,"Displaced comminuted fracture of unspecified patella, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
S82.043S,"Displaced comminuted fracture of unspecified patella, sequela"
S82.044D,"Nondisplaced comminuted fracture of right patella, subsequent encounter for closed fracture with routine healing"
S82.044E,"Nondisplaced comminuted fracture of right patella, subsequent encounter for open fracture type I or II with routine healing"
S82.044F,"Nondisplaced comminuted fracture of right patella, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
S82.044G,"Nondisplaced comminuted fracture of right patella, subsequent encounter for closed fracture with delayed healing"
S82.044H,"Nondisplaced comminuted fracture of right patella, subsequent encounter for open fracture type I or II with delayed healing"
S82.044J,"Nondisplaced comminuted fracture of right patella, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
S82.044K,"Nondisplaced comminuted fracture of right patella, subsequent encounter for closed fracture with nonunion"
S82.044M,"Nondisplaced comminuted fracture of right patella, subsequent encounter for open fracture type I or II with nonunion"
S82.044N,"Nondisplaced comminuted fracture of right patella, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
S82.044P,"Nondisplaced comminuted fracture of right patella, subsequent encounter for closed fracture with malunion"
S82.044Q,"Nondisplaced comminuted fracture of right patella, subsequent encounter for open fracture type I or II with malunion"
S82.044R,"Nondisplaced comminuted fracture of right patella, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
S82.044S,"Nondisplaced comminuted fracture of right patella, sequela"
S82.045D,"Nondisplaced comminuted fracture of left patella, subsequent encounter for closed fracture with routine healing"
S82.045E,"Nondisplaced comminuted fracture of left patella, subsequent encounter for open fracture type I or II with routine healing"
S82.045F,"Nondisplaced comminuted fracture of left patella, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
S82.045G,"Nondisplaced comminuted fracture of left patella, subsequent encounter for closed fracture with delayed healing"
S82.045H,"Nondisplaced comminuted fracture of left patella, subsequent encounter for open fracture type I or II with delayed healing"
S82.045J,"Nondisplaced comminuted fracture of left patella, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
S82.045K,"Nondisplaced comminuted fracture of left patella, subsequent encounter for closed fracture with nonunion"
S82.045M,"Nondisplaced comminuted fracture of left patella, subsequent encounter for open fracture type I or II with nonunion"
S82.045N,"Nondisplaced comminuted fracture of left patella, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
S82.045P,"Nondisplaced comminuted fracture of left patella, subsequent encounter for closed fracture with malunion"
S82.045Q,"Nondisplaced comminuted fracture of left patella, subsequent encounter for open fracture type I or II with malunion"
S82.045R,"Nondisplaced comminuted fracture of left patella, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
S82.045S,"Nondisplaced comminuted fracture of left patella, sequela"
S82.046D,"Nondisplaced comminuted fracture of unspecified patella, subsequent encounter for closed fracture with routine healing"
S82.046E,"Nondisplaced comminuted fracture of unspecified patella, subsequent encounter for open fracture type I or II with routine healing"
S82.046F,"Nondisplaced comminuted fracture of unspecified patella, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
S82.046G,"Nondisplaced comminuted fracture of unspecified patella, subsequent encounter for closed fracture with delayed healing"
S82.046H,"Nondisplaced comminuted fracture of unspecified patella, subsequent encounter for open fracture type I or II with delayed healing"
S82.046J,"Nondisplaced comminuted fracture of unspecified patella, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
S82.046K,"Nondisplaced comminuted fracture of unspecified patella, subsequent encounter for closed fracture with nonunion"
S82.046M,"Nondisplaced comminuted fracture of unspecified patella, subsequent encounter for open fracture type I or II with nonunion"
S82.046N,"Nondisplaced comminuted fracture of unspecified patella, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
S82.046P,"Nondisplaced comminuted fracture of unspecified patella, subsequent encounter for closed fracture with malunion"
S82.046Q,"Nondisplaced comminuted fracture of unspecified patella, subsequent encounter for open fracture type I or II with malunion"
S82.046R,"Nondisplaced comminuted fracture of unspecified patella, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
S82.046S,"Nondisplaced comminuted fracture of unspecified patella, sequela"
S82.091D,"Other fracture of right patella, subsequent encounter for closed fracture with routine healing"
S82.091E,"Other fracture of right patella, subsequent encounter for open fracture type I or II with routine healing"
S82.091F,"Other fracture of right patella, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
S82.091G,"Other fracture of right patella, subsequent encounter for closed fracture with delayed healing"
S82.091H,"Other fracture of right patella, subsequent encounter for open fracture type I or II with delayed healing"
S82.091J,"Other fracture of right patella, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
S82.091K,"Other fracture of right patella, subsequent encounter for closed fracture with nonunion"
S82.091M,"Other fracture of right patella, subsequent encounter for open fracture type I or II with nonunion"
S82.091N,"Other fracture of right patella, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
S82.091P,"Other fracture of right patella, subsequent encounter for closed fracture with malunion"
S82.091Q,"Other fracture of right patella, subsequent encounter for open fracture type I or II with malunion"
S82.091R,"Other fracture of right patella, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
S82.091S,"Other fracture of right patella, sequela"
S82.092D,"Other fracture of left patella, subsequent encounter for closed fracture with routine healing"
S82.092E,"Other fracture of left patella, subsequent encounter for open fracture type I or II with routine healing"
S82.092F,"Other fracture of left patella, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
S82.092G,"Other fracture of left patella, subsequent encounter for closed fracture with delayed healing"
S82.092H,"Other fracture of left patella, subsequent encounter for open fracture type I or II with delayed healing"
S82.092J,"Other fracture of left patella, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
S82.092K,"Other fracture of left patella, subsequent encounter for closed fracture with nonunion"
S82.092M,"Other fracture of left patella, subsequent encounter for open fracture type I or II with nonunion"
S82.092N,"Other fracture of left patella, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
S82.092P,"Other fracture of left patella, subsequent encounter for closed fracture with malunion"
S82.092Q,"Other fracture of left patella, subsequent encounter for open fracture type I or II with malunion"
S82.092R,"Other fracture of left patella, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
S82.092S,"Other fracture of left patella, sequela"
S82.099D,"Other fracture of unspecified patella, subsequent encounter for closed fracture with routine healing"
S82.099E,"Other fracture of unspecified patella, subsequent encounter for open fracture type I or II with routine healing"
S82.099F,"Other fracture of unspecified patella, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
S82.099G,"Other fracture of unspecified patella, subsequent encounter for closed fracture with delayed healing"
S82.099H,"Other fracture of unspecified patella, subsequent encounter for open fracture type I or II with delayed healing"
S82.099J,"Other fracture of unspecified patella, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
S82.099K,"Other fracture of unspecified patella, subsequent encounter for closed fracture with nonunion"
S82.099M,"Other fracture of unspecified patella, subsequent encounter for open fracture type I or II with nonunion"
S82.099N,"Other fracture of unspecified patella, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
S82.099P,"Other fracture of unspecified patella, subsequent encounter for closed fracture with malunion"
S82.099Q,"Other fracture of unspecified patella, subsequent encounter for open fracture type I or II with malunion"
S82.099R,"Other fracture of unspecified patella, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
S82.099S,"Other fracture of unspecified patella, sequela"
S82.101D,"Unspecified fracture of upper end of right tibia, subsequent encounter for closed fracture with routine healing"
S82.101E,"Unspecified fracture of upper end of right tibia, subsequent encounter for open fracture type I or II with routine healing"
S82.101F,"Unspecified fracture of upper end of right tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
S82.101G,"Unspecified fracture of upper end of right tibia, subsequent encounter for closed fracture with delayed healing"
S82.101H,"Unspecified fracture of upper end of right tibia, subsequent encounter for open fracture type I or II with delayed healing"
S82.101J,"Unspecified fracture of upper end of right tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
S82.101K,"Unspecified fracture of upper end of right tibia, subsequent encounter for closed fracture with nonunion"
S82.101M,"Unspecified fracture of upper end of right tibia, subsequent encounter for open fracture type I or II with nonunion"
S82.101N,"Unspecified fracture of upper end of right tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
S82.101P,"Unspecified fracture of upper end of right tibia, subsequent encounter for closed fracture with malunion"
S82.101Q,"Unspecified fracture of upper end of right tibia, subsequent encounter for open fracture type I or II with malunion"
S82.101R,"Unspecified fracture of upper end of right tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
S82.101S,"Unspecified fracture of upper end of right tibia, sequela"
S82.102D,"Unspecified fracture of upper end of left tibia, subsequent encounter for closed fracture with routine healing"
S82.102E,"Unspecified fracture of upper end of left tibia, subsequent encounter for open fracture type I or II with routine healing"
S82.102F,"Unspecified fracture of upper end of left tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
S82.102G,"Unspecified fracture of upper end of left tibia, subsequent encounter for closed fracture with delayed healing"
S82.102H,"Unspecified fracture of upper end of left tibia, subsequent encounter for open fracture type I or II with delayed healing"
S82.102J,"Unspecified fracture of upper end of left tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
S82.102K,"Unspecified fracture of upper end of left tibia, subsequent encounter for closed fracture with nonunion"
S82.102M,"Unspecified fracture of upper end of left tibia, subsequent encounter for open fracture type I or II with nonunion"
S82.102N,"Unspecified fracture of upper end of left tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
S82.102P,"Unspecified fracture of upper end of left tibia, subsequent encounter for closed fracture with malunion"
S82.102Q,"Unspecified fracture of upper end of left tibia, subsequent encounter for open fracture type I or II with malunion"
S82.102R,"Unspecified fracture of upper end of left tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
S82.102S,"Unspecified fracture of upper end of left tibia, sequela"
S82.109D,"Unspecified fracture of upper end of unspecified tibia, subsequent encounter for closed fracture with routine healing"
S82.109E,"Unspecified fracture of upper end of unspecified tibia, subsequent encounter for open fracture type I or II with routine healing"
S82.109F,"Unspecified fracture of upper end of unspecified tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
S82.109G,"Unspecified fracture of upper end of unspecified tibia, subsequent encounter for closed fracture with delayed healing"
S82.109H,"Unspecified fracture of upper end of unspecified tibia, subsequent encounter for open fracture type I or II with delayed healing"
S82.109J,"Unspecified fracture of upper end of unspecified tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
S82.109K,"Unspecified fracture of upper end of unspecified tibia, subsequent encounter for closed fracture with nonunion"
S82.109M,"Unspecified fracture of upper end of unspecified tibia, subsequent encounter for open fracture type I or II with nonunion"
S82.109N,"Unspecified fracture of upper end of unspecified tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
S82.109P,"Unspecified fracture of upper end of unspecified tibia, subsequent encounter for closed fracture with malunion"
S82.109Q,"Unspecified fracture of upper end of unspecified tibia, subsequent encounter for open fracture type I or II with malunion"
S82.109R,"Unspecified fracture of upper end of unspecified tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
S82.109S,"Unspecified fracture of upper end of unspecified tibia, sequela"
S82.111D,"Displaced fracture of right tibial spine, subsequent encounter for closed fracture with routine healing"
S82.111E,"Displaced fracture of right tibial spine, subsequent encounter for open fracture type I or II with routine healing"
S82.111F,"Displaced fracture of right tibial spine, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
S82.111G,"Displaced fracture of right tibial spine, subsequent encounter for closed fracture with delayed healing"
S82.111H,"Displaced fracture of right tibial spine, subsequent encounter for open fracture type I or II with delayed healing"
S82.111J,"Displaced fracture of right tibial spine, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
S82.111K,"Displaced fracture of right tibial spine, subsequent encounter for closed fracture with nonunion"
S82.111M,"Displaced fracture of right tibial spine, subsequent encounter for open fracture type I or II with nonunion"
S82.111N,"Displaced fracture of right tibial spine, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
S82.111P,"Displaced fracture of right tibial spine, subsequent encounter for closed fracture with malunion"
S82.111Q,"Displaced fracture of right tibial spine, subsequent encounter for open fracture type I or II with malunion"
S82.111R,"Displaced fracture of right tibial spine, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
S82.111S,"Displaced fracture of right tibial spine, sequela"
S82.112D,"Displaced fracture of left tibial spine, subsequent encounter for closed fracture with routine healing"
S82.112E,"Displaced fracture of left tibial spine, subsequent encounter for open fracture type I or II with routine healing"
S82.112F,"Displaced fracture of left tibial spine, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
S82.112G,"Displaced fracture of left tibial spine, subsequent encounter for closed fracture with delayed healing"
S82.112H,"Displaced fracture of left tibial spine, subsequent encounter for open fracture type I or II with delayed healing"
S82.112J,"Displaced fracture of left tibial spine, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
S82.112K,"Displaced fracture of left tibial spine, subsequent encounter for closed fracture with nonunion"
S82.112M,"Displaced fracture of left tibial spine, subsequent encounter for open fracture type I or II with nonunion"
S82.112N,"Displaced fracture of left tibial spine, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
S82.112P,"Displaced fracture of left tibial spine, subsequent encounter for closed fracture with malunion"
S82.112Q,"Displaced fracture of left tibial spine, subsequent encounter for open fracture type I or II with malunion"
S82.112R,"Displaced fracture of left tibial spine, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
S82.112S,"Displaced fracture of left tibial spine, sequela"
S82.113D,"Displaced fracture of unspecified tibial spine, subsequent encounter for closed fracture with routine healing"
S82.113E,"Displaced fracture of unspecified tibial spine, subsequent encounter for open fracture type I or II with routine healing"
S82.113F,"Displaced fracture of unspecified tibial spine, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
S82.113G,"Displaced fracture of unspecified tibial spine, subsequent encounter for closed fracture with delayed healing"
S82.113H,"Displaced fracture of unspecified tibial spine, subsequent encounter for open fracture type I or II with delayed healing"
S82.113J,"Displaced fracture of unspecified tibial spine, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
S82.113K,"Displaced fracture of unspecified tibial spine, subsequent encounter for closed fracture with nonunion"
S82.113M,"Displaced fracture of unspecified tibial spine, subsequent encounter for open fracture type I or II with nonunion"
S82.113N,"Displaced fracture of unspecified tibial spine, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
S82.113P,"Displaced fracture of unspecified tibial spine, subsequent encounter for closed fracture with malunion"
S82.113Q,"Displaced fracture of unspecified tibial spine, subsequent encounter for open fracture type I or II with malunion"
S82.113R,"Displaced fracture of unspecified tibial spine, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
S82.113S,"Displaced fracture of unspecified tibial spine, sequela"
S82.114D,"Nondisplaced fracture of right tibial spine, subsequent encounter for closed fracture with routine healing"
S82.114E,"Nondisplaced fracture of right tibial spine, subsequent encounter for open fracture type I or II with routine healing"
S82.114F,"Nondisplaced fracture of right tibial spine, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
S82.114G,"Nondisplaced fracture of right tibial spine, subsequent encounter for closed fracture with delayed healing"
S82.114H,"Nondisplaced fracture of right tibial spine, subsequent encounter for open fracture type I or II with delayed healing"
S82.114J,"Nondisplaced fracture of right tibial spine, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
S82.114K,"Nondisplaced fracture of right tibial spine, subsequent encounter for closed fracture with nonunion"
S82.114M,"Nondisplaced fracture of right tibial spine, subsequent encounter for open fracture type I or II with nonunion"
S82.114N,"Nondisplaced fracture of right tibial spine, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
S82.114P,"Nondisplaced fracture of right tibial spine, subsequent encounter for closed fracture with malunion"
S82.114Q,"Nondisplaced fracture of right tibial spine, subsequent encounter for open fracture type I or II with malunion"
S82.114R,"Nondisplaced fracture of right tibial spine, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
S82.114S,"Nondisplaced fracture of right tibial spine, sequela"
S82.115D,"Nondisplaced fracture of left tibial spine, subsequent encounter for closed fracture with routine healing"
S82.115E,"Nondisplaced fracture of left tibial spine, subsequent encounter for open fracture type I or II with routine healing"
S82.115F,"Nondisplaced fracture of left tibial spine, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
S82.115G,"Nondisplaced fracture of left tibial spine, subsequent encounter for closed fracture with delayed healing"
S82.115H,"Nondisplaced fracture of left tibial spine, subsequent encounter for open fracture type I or II with delayed healing"
S82.115J,"Nondisplaced fracture of left tibial spine, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
S82.115K,"Nondisplaced fracture of left tibial spine, subsequent encounter for closed fracture with nonunion"
S82.115M,"Nondisplaced fracture of left tibial spine, subsequent encounter for open fracture type I or II with nonunion"
S82.115N,"Nondisplaced fracture of left tibial spine, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
S82.115P,"Nondisplaced fracture of left tibial spine, subsequent encounter for closed fracture with malunion"
S82.115Q,"Nondisplaced fracture of left tibial spine, subsequent encounter for open fracture type I or II with malunion"
S82.115R,"Nondisplaced fracture of left tibial spine, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
S82.115S,"Nondisplaced fracture of left tibial spine, sequela"
S82.116D,"Nondisplaced fracture of unspecified tibial spine, subsequent encounter for closed fracture with routine healing"
S82.116E,"Nondisplaced fracture of unspecified tibial spine, subsequent encounter for open fracture type I or II with routine healing"
S82.116F,"Nondisplaced fracture of unspecified tibial spine, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
S82.116G,"Nondisplaced fracture of unspecified tibial spine, subsequent encounter for closed fracture with delayed healing"
S82.116H,"Nondisplaced fracture of unspecified tibial spine, subsequent encounter for open fracture type I or II with delayed healing"
S82.116J,"Nondisplaced fracture of unspecified tibial spine, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
S82.116K,"Nondisplaced fracture of unspecified tibial spine, subsequent encounter for closed fracture with nonunion"
S82.116M,"Nondisplaced fracture of unspecified tibial spine, subsequent encounter for open fracture type I or II with nonunion"
S82.116N,"Nondisplaced fracture of unspecified tibial spine, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
S82.116P,"Nondisplaced fracture of unspecified tibial spine, subsequent encounter for closed fracture with malunion"
S82.116Q,"Nondisplaced fracture of unspecified tibial spine, subsequent encounter for open fracture type I or II with malunion"
S82.116R,"Nondisplaced fracture of unspecified tibial spine, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
S82.116S,"Nondisplaced fracture of unspecified tibial spine, sequela"
S82.121D,"Displaced fracture of lateral condyle of right tibia, subsequent encounter for closed fracture with routine healing"
S82.121E,"Displaced fracture of lateral condyle of right tibia, subsequent encounter for open fracture type I or II with routine healing"
S82.121F,"Displaced fracture of lateral condyle of right tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
S82.121G,"Displaced fracture of lateral condyle of right tibia, subsequent encounter for closed fracture with delayed healing"
S82.121H,"Displaced fracture of lateral condyle of right tibia, subsequent encounter for open fracture type I or II with delayed healing"
S82.121J,"Displaced fracture of lateral condyle of right tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
S82.121K,"Displaced fracture of lateral condyle of right tibia, subsequent encounter for closed fracture with nonunion"
S82.121M,"Displaced fracture of lateral condyle of right tibia, subsequent encounter for open fracture type I or II with nonunion"
S82.121N,"Displaced fracture of lateral condyle of right tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
S82.121P,"Displaced fracture of lateral condyle of right tibia, subsequent encounter for closed fracture with malunion"
S82.121Q,"Displaced fracture of lateral condyle of right tibia, subsequent encounter for open fracture type I or II with malunion"
S82.121R,"Displaced fracture of lateral condyle of right tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
S82.121S,"Displaced fracture of lateral condyle of right tibia, sequela"
S82.122D,"Displaced fracture of lateral condyle of left tibia, subsequent encounter for closed fracture with routine healing"
S82.122E,"Displaced fracture of lateral condyle of left tibia, subsequent encounter for open fracture type I or II with routine healing"
S82.122F,"Displaced fracture of lateral condyle of left tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
S82.122G,"Displaced fracture of lateral condyle of left tibia, subsequent encounter for closed fracture with delayed healing"
S82.122H,"Displaced fracture of lateral condyle of left tibia, subsequent encounter for open fracture type I or II with delayed healing"
S82.122J,"Displaced fracture of lateral condyle of left tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
S82.122K,"Displaced fracture of lateral condyle of left tibia, subsequent encounter for closed fracture with nonunion"
S82.122M,"Displaced fracture of lateral condyle of left tibia, subsequent encounter for open fracture type I or II with nonunion"
S82.122N,"Displaced fracture of lateral condyle of left tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
S82.122P,"Displaced fracture of lateral condyle of left tibia, subsequent encounter for closed fracture with malunion"
S82.122Q,"Displaced fracture of lateral condyle of left tibia, subsequent encounter for open fracture type I or II with malunion"
S82.122R,"Displaced fracture of lateral condyle of left tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
S82.122S,"Displaced fracture of lateral condyle of left tibia, sequela"
S82.123D,"Displaced fracture of lateral condyle of unspecified tibia, subsequent encounter for closed fracture with routine healing"
S82.123E,"Displaced fracture of lateral condyle of unspecified tibia, subsequent encounter for open fracture type I or II with routine healing"
S82.123F,"Displaced fracture of lateral condyle of unspecified tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
S82.123G,"Displaced fracture of lateral condyle of unspecified tibia, subsequent encounter for closed fracture with delayed healing"
S82.123H,"Displaced fracture of lateral condyle of unspecified tibia, subsequent encounter for open fracture type I or II with delayed healing"
S82.123J,"Displaced fracture of lateral condyle of unspecified tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
S82.123K,"Displaced fracture of lateral condyle of unspecified tibia, subsequent encounter for closed fracture with nonunion"
S82.123M,"Displaced fracture of lateral condyle of unspecified tibia, subsequent encounter for open fracture type I or II with nonunion"
S82.123N,"Displaced fracture of lateral condyle of unspecified tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
S82.123P,"Displaced fracture of lateral condyle of unspecified tibia, subsequent encounter for closed fracture with malunion"
S82.123Q,"Displaced fracture of lateral condyle of unspecified tibia, subsequent encounter for open fracture type I or II with malunion"
S82.123R,"Displaced fracture of lateral condyle of unspecified tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
S82.123S,"Displaced fracture of lateral condyle of unspecified tibia, sequela"
S82.124D,"Nondisplaced fracture of lateral condyle of right tibia, subsequent encounter for closed fracture with routine healing"
S82.124E,"Nondisplaced fracture of lateral condyle of right tibia, subsequent encounter for open fracture type I or II with routine healing"
S82.124F,"Nondisplaced fracture of lateral condyle of right tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
S82.124G,"Nondisplaced fracture of lateral condyle of right tibia, subsequent encounter for closed fracture with delayed healing"
S82.124H,"Nondisplaced fracture of lateral condyle of right tibia, subsequent encounter for open fracture type I or II with delayed healing"
S82.124J,"Nondisplaced fracture of lateral condyle of right tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
S82.124K,"Nondisplaced fracture of lateral condyle of right tibia, subsequent encounter for closed fracture with nonunion"
S82.124M,"Nondisplaced fracture of lateral condyle of right tibia, subsequent encounter for open fracture type I or II with nonunion"
S82.124N,"Nondisplaced fracture of lateral condyle of right tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
S82.124P,"Nondisplaced fracture of lateral condyle of right tibia, subsequent encounter for closed fracture with malunion"
S82.124Q,"Nondisplaced fracture of lateral condyle of right tibia, subsequent encounter for open fracture type I or II with malunion"
S82.124R,"Nondisplaced fracture of lateral condyle of right tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
S82.124S,"Nondisplaced fracture of lateral condyle of right tibia, sequela"
S82.125D,"Nondisplaced fracture of lateral condyle of left tibia, subsequent encounter for closed fracture with routine healing"
S82.125E,"Nondisplaced fracture of lateral condyle of left tibia, subsequent encounter for open fracture type I or II with routine healing"
S82.125F,"Nondisplaced fracture of lateral condyle of left tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
